Aspergillus_oryzae_* Aspergillus_oryzae
Batrachochytrium_dendrobatidis_* Batrachochytrium_dendrobatidis
Blumeria_graminis_* Blumeria_graminis
Botrytis_cinerea_* Botrytis_cinerea
Cryptococcus_neoformans_* Cryptococcus_neoformans
Fusarium_oxysporum_* Fusarium_oxysporum
Laccaria_bicolor_* Laccaria_bicolor
Magnaporthe_oryzae_* Magnaporthe_oryzae
Phaeosphaeria_nodorum_* Phaeosphaeria_nodorum
Phanerochaete_chrysosporium_* Phanerochaete_chrysosporium
Phycomyces_blakesleeanus_* Phycomyces_blakesleeanus
Puccinia_graminis_* Puccinia_graminis
Pyrenophora_triticirepentis_* Pyrenophora_triticirepentis
Rhizoclosmatium_globosum_* Rhizoclosmatium_globosum
Rhizopus_delemar_* Rhizopus_delemar
Saccharomyces_cerevisiae_* Saccharomyces_cerevisiae
Schizosaccharomyces_pombe_* Schizosaccharomyces_pombe
Sporobolomyces_linderae_* Sporobolomyces_linderae
Ustilago_maydis_* Ustilago_maydis
Verticillium_dahliae_* Verticillium_dahliae
Yarrowia_lipolytica_* Yarrowia_lipolytica
Zymoseptoria_tritici_* Zymoseptoria_tritici
